feature,coef,std_error,z_value,p_value,conf_low_logit,conf_high_logit,odds_ratio,or_ci_low,or_ci_high,abs_coef
PRVPCI_Yes,0.9487511786695104,0.4320071769193638,2.1961467988449632,0.02808143784484953,0.10201711190755736,1.7954852454314634,2.582482585377624,1.1074024213336635,6.022396353212634,0.9487511786695104
SEX_male,0.9113003914110258,0.48429014319761293,1.8817240123740715,0.05987349769577073,-0.037908289256295524,1.8605090720783473,2.487555226497082,0.9628012360597284,6.427007748969148,0.9113003914110258
PRVPCS_Yes,-0.8199784346510836,0.6029774748563257,-1.3598823651687215,0.1738671523650115,-2.001814285369482,0.3618574160673148,0.44044115267071776,0.13508996901455417,1.435994177665485,0.8199784346510836
SMOKE_Yes,0.6280652439287128,0.39326066175143193,1.5970711159655568,0.11024985580183821,-0.1427256531040938,1.3988561409615192,1.8739813727433685,0.8669918928054385,4.050564041637703,0.6280652439287128
WTLOSS_Yes,0.6228877976650915,0.5897006980162881,1.0562778707239833,0.29084128306614443,-0.5329255704468332,1.7787011657770162,1.8643040085211482,0.5868854808434844,5.922159517718469,0.6228877976650915
`DYSPNEA_MODERATE EXERTION`,-0.5850714146100813,0.6707696773964998,-0.8722389134836199,0.383078054813905,-1.899779982307221,0.7296371530870585,0.5570660777348777,0.14960153058555686,2.0743278076653624,0.5850714146100813
RENAFAIL_Yes,0.5843583335669825,1.7800027363581876,0.3282906939584574,0.7426918797798474,-2.9044470296950653,4.07316369682903,1.793839569628855,0.0547790734289045,58.74251242570875,0.5843583335669825
HEMI_Yes,0.5644993502693072,1.366250633078018,0.4131740813891152,0.6794790761484477,-2.1133518905636084,3.2423505911022223,1.7585671361293616,0.12083227034203134,25.59381168226284,0.5644993502693072
DIABETES_NO,-0.5578300753377946,0.6468441762471064,-0.8623871031416587,0.3884745351287744,-1.8256446607821233,0.709984510106534,0.5724498902467601,0.1611137469300432,2.0339597525828568,0.5578300753377946
CHEMO_Yes,-0.5261330306588919,0.9533986302987082,-0.5518499963588681,0.5810511298612754,-2.39479434604436,1.3425282847265763,0.5908854935662954,0.09119143087280487,3.828711351114537,0.5261330306588919
HXCOPD_Yes,0.4221173838838172,0.35975251889778315,1.173354908471826,0.24065351161242854,-0.2829975531558378,1.1272323209234723,1.5251875466137002,0.753521631607467,3.087100561908364,0.4221173838838172
PRINR,-0.38957785462180394,1.2663391868442804,-0.3076410006647845,0.7583555182204382,-2.8716026608365937,2.0924469515929855,0.6773427512650425,0.056608130208069436,8.104722784606238,0.38957785462180394
HEIGHT,-0.3854402531633904,0.14535107482725576,-2.6517881179858596,0.008006676887484571,-0.6703283598248118,-0.10055214650196914,0.6801511315932314,0.5115405808308208,0.9043379531223318,0.3854402531633904
BMI,-0.3847261011572229,0.1696199840785401,-2.2681649408661717,0.02331915543026301,-0.7171812699511615,-0.05227093236328434,0.6806370363726408,0.4881262146698342,0.9490716977687474,0.3847261011572229
PRBILI,-0.3445755145623318,0.6023118404601177,-0.5720882297434231,0.567262202759379,-1.5251067218641623,0.8359556927394988,0.708521046509901,0.2175978331796228,2.3070177952235964,0.3445755145623318
Leukocytosis_Y,0.2971468875401727,1.3064928767949822,0.22743858219044977,0.8200827220185387,-2.2635791509779923,2.8578729260583375,1.3460129974662927,0.10397766620014194,17.424424451505146,0.2971468875401727
DIABETES_ORAL,-0.2847718144052157,0.8250975957112213,-0.34513712788091067,0.729991282378515,-1.9019631019992094,1.3324194731887782,0.7521858727189694,0.1492752887802114,3.790202596432696,0.2847718144052157
STEROID_Yes,-0.2682282305958789,0.7483732605525787,-0.3584150379689226,0.720032739505867,-1.735039821278933,1.1985833600871751,0.7647332256643941,0.17639317594462062,3.315416842535194,0.2682282305958789
RBC,0.23743109494340492,0.14216567418424844,1.6701014243121115,0.09489929840964496,-0.04121362645772203,0.5160758163445318,1.2679876230215805,0.9596241069506978,1.6754399983185506,0.23743109494340492
`DIABETES_NON-INSULIN`,-0.23638261783768272,0.8659867760762245,-0.27296331118210543,0.7848814183714014,-1.9337166989470826,1.4609514632717173,0.7894785475622541,0.14460972761406854,4.310058440358823,0.23638261783768272
HYPERMED_Yes,-0.2358027521592106,0.36160651243918673,-0.6520976366510179,0.5143381885845233,-0.9445515165400167,0.47294601222159544,0.7899364718303276,0.38885392635538196,1.6047147456535107,0.2358027521592106
PRCREAT,-0.19967182319342583,0.4463334085757152,-0.44736024540621827,0.654614974739459,-1.0744853040018276,0.6751416576149759,0.8189994856154522,0.3414734651045197,1.9643112159038945,0.19967182319342583
Leukocytosis_N,-0.17218454223488702,0.8600527029074854,-0.20020231510557635,0.8413223566361823,-1.8578878399335583,1.5135187554637841,0.8418238067864257,0.15600178337084405,4.5426873101044025,0.17218454223488702
PRALBUM,-0.13340336237829206,0.3660995972595802,-0.36439090175699757,0.7155661285089132,-0.8509585730070692,0.584151848250485,0.8751120336371457,0.42700541983712753,1.7934692063361812,0.13340336237829206
